*;base;gen
cn_Gerberga.f;Герберга;
cn_Gerbert.m;Герберт;
cn_Gerda.f;Герда;
cn_Gerdeka.f;Гердека;
cn_Gerdrut.f;Гердрут;
cn_Geregye.m;Герегие;
cn_Gergely.m;Гергели;
cn_Gerhard.m;Герхард;
cn_Gerlach.m;Герлач;
cn_Germanos.m;Германос;
cn_Germanus.m;Германус;
cn_Gernot.m;Гернот;
cn_Gerold.m;Геролд;
cn_Gerolf.m;Геролф;
cn_Gersent.f;Герсент;
cn_Gerstukas.m;Герстукас;
cn_Gert.m;Герт;
cn_Gertruda.f;Гертруда;
cn_Gertrude.f;Гертруда;
cn_Gertrude_Petronilla.f;Гертруде-Петронилла;
cn_Gerung.m;Герунг;
cn_Gervais.m;Герваис;
cn_Gervase.m;Гервасе;
cn_Gervasio.m;Гервасио;
cn_Geva.f;Гева;
cn_Ghabdula.m;Гхабдула;
cn_Ghalib.m;Гхалиб;
cn_Ghaniyah.f;Гханиях;
cn_Ghassan.m;Гхассан;
cn_Ghaythah.f;Гхаитах;
cn_Ghazan.m;Гхазан;
cn_Ghazar.m;Гхазар;
cn_Ghaziya.f;Гхазия;
cn_Gheorghe.m;Гхеоргхе;
cn_Gherardo.m;Гхерардо;
cn_Gherarducio.m;Гхерардукио;
cn_Ghevond.m;Гхевонд;
cn_Ghias.m;Гхиас;
cn_Ghiyas.m;Гхияс;
cn_Ghiyath.m;Гхият;
cn_Ghougas.m;Гхоугас;
cn_Ghufayl.m;Гхуфаил;
cn_Ghurbatai.m;Гхурбатаи;
cn_Ghysebrecht.m;Гхисебречт;
cn_Gi.m;Ги;
cn_Giacomo.m;Гиакомо;
cn_Gian.m;Гиан;
cn_Gianbattista.m;Гианбаттиста;
cn_Gianfrancesco.m;Гианфранкеско;
cn_Giannantonio.m;Гианнантонио;
cn_Gib.m;Гиб;
cn_Giffard.m;Гиффард;
cn_Gijs.m;Гийс;
cn_Gilabertz.m;Гилабертз;
cn_Gilbert.m;Жилбер;
cn_Gilberte.f;Гилберте;
cn_Gilchrist.m;Гилчрист;
cn_Gilebert.m;Гилеберт;
cn_Giles.m;Жил;
cn_Gileta.f;Гилета;
cn_Gilia.f;Гилиа;
cn_Gill.m;Гилл;
cn_Gilla.m;Гилла;
cn_Gillafin.m;Гиллафин;
cn_Gillamaire.m;Гилламаире;
cn_Gille.m;Гилле;
cn_Gillebrighde.m;Гиллебригхде;
cn_Gilleoin.m;Гиллеоин;
cn_Gilleskel.m;Гиллескел;
cn_Gillespie.m;Гиллеспие;
cn_Gillian.f;Гиллиан;
cn_Gine.f;Гине;
cn_Ginozzo.m;Гиноззо;
cn_Giorgi.m;Гиорги;
cn_Giorgio.m;Гиоргио;
cn_Giotto.m;Гиотто;
cn_Giovanna.f;Гиованна;
cn_Giovanni.m;Джовани;
cn_Giragas.m;Гирагас;
cn_Giraldo.m;Гиралдо;
cn_Girard.m;Гирард;
cn_Giraud.m;Гирауд;
cn_Giric.m;Гирик;
cn_Girolamo.m;Гироламо;
cn_Girvaits.m;Гирваитс;
cn_Gisela.f;Гизела;
cn_Giselbrecht.m;Гиселбречт;
cn_Giselle.f;Гиселле;
cn_Gisle.m;Гисле;
cn_Giso.m;Гисо;
cn_Gissur.m;Гиссур;
cn_Gita.f;Гита;
cn_Giuliano.m;Гиулиано;
cn_Giunta.m;Гиунта;
cn_Gizlan.f;Гизлан;
cn_Gjergji.m;Гйергджи;
cn_Gjin.m;Гджин;
cn_Gjon.m;Гйон;
cn_Glad.m;Глад;
cn_Gleb.m;Глеб;
cn_Glockrian.m;Глоккриан;
cn_Godafres.m;Годафрес;
cn_Godbert.m;Годберт;
cn_Godehilde.f;Годехилде;
cn_Godelieve.f;Годелиеве;
cn_Godfrey.m;Годфроа;
cn_Godila.f;Годила;
cn_Godith.f;Годит;
cn_Godred.m;Годред;
cn_Godwin.m;Годуин;
cn_Gofraid.m;Гофраид;
cn_Gojko.m;Гойко;
cn_Golem.m;Голем;
cn_Goll.m;Голл;
cn_Gomez.m;Гомез;
cn_Gonsalvo.m;Гонсалво;
cn_Gonzalo.m;Гонзало;
cn_Gordana.f;Гордана;
cn_Gorige.m;Гориге;
cn_Gormflaith.f;Гормфлаит;
cn_Goronwy.m;Горонуи;
cn_Gosdantin.m;Госдантин;
cn_Goshadze.m;Гошадзе;
cn_Goswin.m;Госуин;
cn_Gotfrid.m;Готфрид;
cn_Gothardus.m;Готардус;
cn_Gottshalk.m;Готтшалк;
cn_Grace.f;Граке;
cn_Gradinja.m;Градиня;
cn_Graecia.f;Граекиа;
cn_Greet.f;Греет;
cn_Greger.m;Грегер;
cn_Gregoir.m;Грегоир;
cn_Gregor.m;Грегор;
cn_Gregorio.m;Грегорио;
cn_Gregorios.m;Грегориос;
cn_Gregory.m;Григорий;
cn_Greimolt.m;Греимолт;
cn_Grete.f;Грете;
cn_Griffit.m;Гриффит;
cn_Griffri.m;Гриффри;
cn_Grigol.m;Григол;
cn_Grigor.m;Григор;
cn_Grigor_Derenik.m;Григор-Дереник;
cn_Grigore.m;Григоре;
cn_Grigorije.m;Григорийе;
cn_Grigoriy.m;Григории;
cn_Grimoald.m;Гримоалд;
cn_Griselda.f;Гриселда;
cn_Gro.f;Гро;
cn_Gronw.m;Грону;
cn_Grouch.f;Гроуч;
cn_Gruffudd.m;Груффудд;
cn_Gruffydd.m;Груффидд;
cn_Gruoch.f;Груоч;
cn_Grzymislawa.f;Грзимислауа;
cn_Gualhartz.m;Гуалхартз;
cn_Guarona.f;Гуарона;
cn_Guccio.m;Гуккио;
cn_Gudbrand.m;Гудбранд;
cn_Gudesteo.m;Гудестео;
cn_Gudmundur.m;Гудмундур;
cn_Gudny.f;Гудни;
cn_Gudradis.f;Гудрадис;
cn_Gudrodr.m;Гудродр;
cn_Gudrun.f;Гудрун;
cn_Guenael.f;Гуенаел;
cn_Guerau.m;Гуерау;
cn_Guerech.m;Гуереч;
cn_Guglielmo.m;Гуглиелмо;
cn_Gugliemo.m;Гуглиемо;
cn_Guhtasb.m;Гухтасб;
cn_Gui.m;Гуи;
cn_Guia.f;Гуиа;
cn_Guido.m;Гуидо;
cn_Guifre.m;Гуифре;
cn_Guigemar.m;Гуигемар;
cn_Guigo.m;Гуиго;
cn_Guigues.m;Гуигуес;
cn_Guihomar.m;Гуихомар;
cn_Guilhamos.m;Гуилхамос;
cn_Guilhelms.m;Гуилхелмс;
cn_Guilhem.m;Гуилхем;
cn_Guillaume.m;Гуиллауме;
cn_Guillelmus.m;Гуиллелмус;
cn_Guillem.m;Гуиллем;
cn_Guillemette.f;Гуиллеметте;
cn_Guillemona.f;Гуиллемона;
cn_Guillerma.f;Гуиллерма;
cn_Guinevere.f;Гуиневере;
cn_Guiomar.f;Гуиомар;
cn_Guios.m;Гуиос;
cn_Guiotz.m;Гуиотз;
cn_Guirautz.m;Гуираутз;
cn_Guis.m;Гуис;
cn_Gulhemet.m;Гулхемет;
cn_Gulielm.m;Гулиелм;
cn_Gulkhan.f;Гулкхан;
cn_Gumprecht.m;Гумпречт;
cn_Gundrada.f;Гундрада;
cn_Gundram.m;Гундрам;
cn_Gundred.f;Гундред;
cn_Guneri.m;Гунери;
cn_Gunnar.m;Гуннар;
cn_Gunnhildr.f;Гуннхилдр;
cn_Gunnor.f;Гуннор;
cn_Gunselin.m;Гунселин;
cn_Gunter.m;Гунтер;
cn_Gunther.m;Гунтер;
cn_Guntroda.f;Гунтрода;
cn_Gunzelin.m;Гунзелин;
cn_Gurandukht.f;Гурандукхт;
cn_Gurcu.f;Гурку;
cn_Gurgen.m;Гурген;
cn_Gushtasb.m;Гуштасб;
cn_Gutel.f;Гутел;
cn_Guthorm.m;Гуторм;
cn_Guttiere.m;Гуттиере;
cn_Guttorm.m;Гутторм;
cn_Gutun.m;Гутун;
cn_Gutwin.m;Гутуин;
cn_Guust.m;Гууст;
cn_Guy.m;Ги;
cn_Guyuk.m;Гуиук;
cn_Guzan.m;Гузан;
cn_Gvantsa.f;Гвантса;
cn_Gwalchmai.m;Гуалчмаи;
cn_Gwallter.m;Гуаллтер;
cn_Gwasdewi.m;Гуасдеуи;
cn_Gweirica.f;Гуеирика;
cn_Gwen.f;Гуен;
cn_Gwenhwyfar.f;Гуенхуифар;
cn_Gwenllian.f;Гуенллиан;
cn_Gwenllwyfo.f;Гуенллуифо;
cn_Gwensi.f;Гуенси;
cn_Gwenwynwyn.m;Гуенуинуин;
cn_Gwerfel.f;Гуерфел;
cn_Gwerful.f;Гуерфул;
cn_Gwerfyl.f;Гуерфил;
cn_Gwerica.f;Гуерика;
cn_Gwerydd.f;Гуеридд;
cn_Gwilym.m;Гуилим;
cn_Gwion.m;Гуион;
cn_Gwir.f;Гуир;
cn_Gwladus.f;Гуладус;
cn_Gwladys.f;Гуладис;
cn_Gwledyr.f;Гуледир;
cn_Gwogan.m;Гуоган;
cn_Gwrgant.m;Гургант;
cn_Gwrgenau.m;Гургенау;
cn_Gwrwared.m;Гуруаред;
cn_Gwydion.m;Гуидион;
cn_Gwyn.m;Гуин;
cn_Gwynfardd.m;Гуинфардд;
cn_Gyla.f;Гила;
cn_Gylmine.m;Гилмине;
cn_Gyorgy.m;Гиорги;
cn_Gyselher.m;Гиселхер;
cn_Gytha.f;Гита;
cn_Gyula.m;Гиула;
cn_Gyumushtekin.m;Гиумуштекин;
cn_Haakon.m;Хаакон;
cn_Haas.m;Хаас;
cn_Habbus.m;Хаббус;
cn_Habibah.f;Хабибах;
cn_Hachiun.m;Хачиун;
cn_Hadija.f;Хадия;
cn_Hadubrand.m;Хадубранд;
cn_Hadwisa.f;Хадуиса;
cn_Hafez.m;Хафез;
cn_Hafs.m;Хафс;
cn_Hafsah.f;Хафсах;
cn_Hahold.m;Хахолд;
cn_Hahot.m;Хахот;
cn_Haile.m;Хаиле;
cn_Hajdjadj.m;Хайдядй;
cn_Hajib.m;Хаджиб;
cn_Hajjaj.m;Хайяй;
cn_Hakan.m;Хакан;
cn_Hakim.m;Хаким;
cn_Hakima.f;Хакима;
cn_Halawa.f;Халауа;
cn_Halima.f;Халима;
cn_Hallsten.m;Халлстен;
cn_Halvdan.m;Халвдан;
cn_Hamada.m;Хамада;
cn_Hamazasp.m;Хамазасп;
cn_Hamdallah.m;Хамдаллах;
cn_Hamdan.m;Хамдан;
cn_Hamelin.m;Хамелин;
cn_Hamid.m;Хамид;
cn_Hamida.f;Хамида;
cn_Hammad.m;Хаммад;
cn_Hammama.m;Хаммама;
cn_Hammou.m;Хаммоу;
cn_Hamo.m;Хамо;
cn_Hamon.m;Хамон;
cn_Hanna.f;Ханна;
cn_Hannelore.f;Ханнелоре;
cn_Hans.m;Ханс;
cn_Hanse.f;Хансе;
cn_Haqam.m;Хакам;
cn_Harald.m;Харалд;
cn_Harb.m;Харб;
cn_Hardwin.m;Хардуин;
cn_Harith.m;Харит;
cn_Harold.m;Харолд;
cn_Hartlib.m;Хартлиб;
cn_Hartman.m;Хартман;
cn_Hartnid.m;Хартнид;
cn_Hartrad.m;Хартрад;
cn_Hartung.m;Хартунг;
cn_Harun.m;Харун;
cn_Harvey.m;Харвеи;
cn_Hasan.m;Хасан;
cn_Hashim.m;Хашим;
cn_Hassan.m;Хассан;
cn_Hatice.f;Хатике;
cn_Hatim.m;Хатим;
cn_Havtore.m;Хавторе;
cn_Hawa.f;Хауа;
cn_Hawise.f;Хауисе;
cn_Hawiz.m;Хауиз;
cn_Hawqal.m;Хаукал;
cn_Hayal.f;Хаиал;
cn_Haygashot.m;Хаигашот;
cn_Hayk.m;Хаик;
cn_Haytham.m;Хаитам;
cn_Hayton.m;Хаитон;
cn_Hazm.m;Хазм;
cn_Hecene.m;Хекене;
cn_Hedvig.f;Хедвиг;
cn_Hedwig.f;Хедуиг;
cn_Hedwige.f;Хедуиге;
cn_Heidenrich.m;Хеиденрич;
cn_Heila.f;Хеила;
cn_Heilyn.m;Хеилин;
cn_Heinrek.m;Хеинрек;
cn_Heinrich.m;Хеинрич;
cn_Heiwig.f;Хеиуиг;
cn_Hektor.m;Хектор;
cn_Helen.f;Елена;
cn_Helena.f;Елена;
cn_Helene.f;Хелене;
cn_Helewisa.f;Хелеуиса;
cn_Helga.f;Хелга;
cn_Helias.m;Хелиас;
cn_Helie.f;Хелие;
cn_Helion.m;Хелион;
cn_Helka.f;Хелка;
cn_Hellenboldus.m;Хелленболдус;
cn_Hellenbrecht.m;Хелленбречт;
cn_Helmold.m;Хелмолд;
cn_Helvide.f;Хелвиде;
cn_Helvig.f;Хелвиг;
cn_Helvis.f;Хелвис;
cn_Hemming.m;Хемминг;
cn_Hemon.m;Хемон;
cn_Hempel.m;Хемпел;
cn_Hendric.m;Хендрик;
cn_Henning.m;Хеннинг;
cn_Henrdiqeta.f;Хенрдикета;
cn_Henri.m;Анри;
cn_Henricus.m;Хенрикус;
cn_Henrik.m;Хенрик;
cn_Henrique.m;Хенрикве;
cn_Henry.m;Хенри;
cn_Henryk.m;Хенрик;
cn_Herbert.m;Хърбърт;
cn_Herberti.m;Херберти;
cn_Herbord.m;Херборд;
cn_Herburg.f;Хербург;
cn_Herdegen.m;Хердеген;
cn_Herdis.f;Хердис;
cn_Herfast.m;Херфаст;
cn_Herleva.f;Херлева;
cn_Herlinde.f;Херлинде;
cn_Herluka.f;Херлука;
cn_Herman.m;Херман;
cn_Hermann.m;Херманн;
cn_Hermesent.f;Хермесент;
cn_Herrad.f;Херрад;
cn_Herterich.m;Хертерич;
cn_Hertwig.m;Хертуиг;
cn_Herve.m;Херве;
cn_Hervey.m;Хервеи;
cn_Herwyg.m;Херуиг;
cn_Hethum.m;Хетум;
cn_Hew.m;Хеу;
cn_Heward.m;Хеуард;
cn_Hewig.f;Хеуиг;
cn_Hextilda.f;Хекстилда;
cn_Hilal.m;Хилал;
cn_Hilde.f;Хилде;
cn_Hildebrand.m;Хилдебранд;
cn_Hildebrande.m;Хилдебранде;
cn_Hildegard.f;Хилдегард;
cn_Hildegarde.f;Хилдегарде;
cn_Hildegonde.f;Хилдегонде;
cn_Hildegund.f;Хилдегунд;
cn_Hildenbrand.m;Хилденбранд;
cn_Hildiger.m;Хилдигер;
cn_Hilduin.m;Хилдуин;
cn_Hilush.f;Хилуш;
cn_Himas.m;Химас;
cn_Hindi.f;Хинди;
cn_Hisham.m;Хишам;
cn_Hizam.m;Хизам;
cn_Hizir.m;Хизир;
cn_Hocine.m;Хокине;
cn_Hodierna.f;Ходиерна;
cn_Hodos.m;Ходос;
cn_Hoel.m;Хоел;
cn_Hoelun.f;Хоелун;
cn_Holmfrid.f;Холмфрид;
cn_Holmger.m;Холмгер;
cn_Holophira.f;Холофира;
cn_Honorius.m;Хонориус;
cn_Hossain.m;Хоссаин;
cn_Hotula.m;Хотула;
cn_Houari.m;Хоуари;
cn_Hovhannes.m;Ховханнес;
cn_Hovhannes_Smbat.m;Ховханнес-Смбат;
cn_Hovsep.m;Ховсеп;
cn_Howel.m;Хоуел;
cn_Hranislav.m;Хранислав;
cn_Hrolf.m;Хролф;
cn_Hubert.m;Хуберт;
cn_Hubertus.m;Хубертус;
cn_Hudayda.m;Худаида;
cn_Huet.m;Хует;
cn_Hugaert.m;Хугаерт;
cn_Huge.m;Хуге;
cn_Hugh.m;Хю;
cn_Hughes.m;Хугхес;
cn_Hugleik.m;Хуглеик;
cn_Hugo.m;Уго;
cn_Hugolina.f;Хуголина;
cn_Hugues.m;Хугуес;
cn_Huig.m;Хуиг;
cn_Huistean.m;Хуистеан;
cn_Hujr.m;Хуйр;
cn_Hulegu.m;Хулегу;
cn_Humai.m;Хумаи;
cn_Humbert.m;Хумберт;
cn_Hume.m;Хуме;
cn_Humphrey.m;Хъмфри;
cn_Hunayn.m;Хунаин;
cn_Hunold.m;Хунолд;
cn_Hunydd.f;Хунидд;
cn_Hurrey.m;Хурреи;
cn_Husam.m;Хусам;
cn_Husayn.m;Хусаин;
cn_Hushang.m;Хушанг;
cn_Husik.m;Хусик;
cn_Hussain.m;Хуссаин;
cn_Huys.m;Хуис;
cn_Hvarflod.f;Хварфлод;
cn_Hwfa.m;Хуфа;
cn_Hypomone.f;Хипомоне;
cn_Hywel.m;Хиуел;
cn_Iacopo.m;Иакопо;
cn_Iadgar.m;Иадгар;
cn_Iago.m;Иаго;
cn_Iain.m;Иаин;
cn_Iames.m;Иамес;
cn_Ian.m;Иан;
cn_Iaroslav.m;Иарослав;
cn_Ibrahim.m;Ибрахим;
cn_Ida.f;Ида;
cn_Ide.f;Иде;
cn_Ided.m;Идед;
cn_Idi.m;Иди;
cn_Idid.m;Идид;
cn_Idlal.f;Идлал;
cn_Idnerth.m;Иднерт;
cn_Idoine.f;Идоине;
cn_Idonea.f;Идонеа;
cn_Idris.m;Идрис;
cn_Idwal.m;Идуал;
cn_Idwallon.m;Идуаллон;
cn_Iestyn.m;Иестин;
cn_Ieuaf.m;Иеуаф;
cn_Ieuan.m;Иеуан;
cn_Ievna.f;Иевна;
cn_Ifor.m;Ифор;
cn_Iftikhar.m;Ифтикхар;
cn_Ignatios.m;Игнатиос;
cn_Ignjat.m;Игнят;
cn_Igor.m;Игор;
cn_Igraine.f;Играине;
cn_Iha.f;Иха;
cn_Ihon.m;Ихон;
cn_Ihtizaz.f;Ихтизаз;
cn_Ijliyah.f;Ийлиях;
cn_Ikhtiyar.m;Икхтияр;
cn_Ilario.m;Иларио;
cn_Ilbani.m;Илбани;
cn_Ilbert.m;Илберт;
cn_Ilchi.m;Илчи;
cn_Ildaria.f;Илдариа;
cn_Ilduara.f;Илдуара;
cn_Ilga.m;Илга;
cn_Ilghazi.m;Илгхази;
cn_Iliaz.m;Илиаз;
cn_Illyr.m;Иллир;
cn_Ilma.f;Илма;
cn_Ilmarinen.m;Илмаринен;
cn_Ilona.f;Илона;
cn_Ilya.m;Илиа;
cn_Ilyas.m;Илиас;
cn_Imad.m;Имад;
cn_Imbert.m;Имберт;
cn_Imran.m;Имран;
cn_Imre.m;Имре;
cn_Imrich.m;Имрич;
cn_Inan.f;Инан;
cn_Inari.f;Инари;
cn_Ine.f;Ине;
cn_Ines.f;Инес;
cn_Inga.f;Инга;
cn_Ingardis.f;Ингардис;
cn_Inge.m;Инге;
cn_Ingeborg.f;Ингеборг;
cn_Ingegard.f;Ингегард;
cn_Ingegerd.f;Ингегерд;
cn_Ingeramium.m;Ингерамиум;
cn_Ingerd.f;Ингерд;
cn_Ingigerd.f;Ингигерд;
cn_Ingigerda.f;Ингигерда;
cn_Ingram.m;Инграм;
cn_Ingrid.f;Ингрид;
cn_Ingvar.m;Ингвар;
cn_Inkeri.f;Инкери;
cn_Innocent.m;Иннокент;
cn_Ioan.m;Иоан;
cn_Ioan_Aleksandar.m;Иоан-Александар;
cn_Ioan_Stefan.m;Иоан-Стефан;
cn_Ioann.m;Иоанн;
cn_Ioanne.m;Иоанне;
cn_Ioannes.m;Иоаннес;
cn_Ioannitsa.m;Иоаннитса;
cn_Ioasaf.m;Иоасаф;
cn_Iocyn.m;Иокин;
cn_Iohannes.m;Иоханнес;
cn_Iohn.m;Иохн;
cn_Iolanda.f;Иоланда;
cn_Iolo.m;Иоло;
cn_Iorwerth.m;Иоруерт;
cn_Ioveta.f;Иовета;
cn_Ipatios.m;Ипатиос;
cn_Irakli.m;Иракли;
cn_Irena.f;Ирена;
cn_Irina.f;Ирина;
cn_Irmeltrud.f;Ирмелтруд;
cn_Irmengard.f;Ирменгард;
cn_Irmgard.f;Ирмгард;
cn_Irtash.m;Ирташ;
cn_Isa.m;Иса;
cn_Isaak.m;Исаак;
cn_Isaakios.m;Исаакиос;
cn_Isabeau.f;Исабеау;
cn_Isabel.f;Изабел;
cn_Isabella.f;Изабела;
cn_Isabelle.f;Исабелле;
cn_Isaiah.m;Исаиах;
cn_Isaias.m;Исаиас;
cn_Isarts.m;Исартс;
cn_Isembard.m;Исембард;
cn_Isentrud.f;Исентруд;
cn_Iseult.f;Исеулт;
cn_Ishaq.m;Ишак;
cn_Ishraq.f;Ишрак;
cn_Ishush.f;Ишуш;
cn_Isidore.m;Исидоре;
cn_Isidoros.m;Исидорос;
cn_Iskandar.m;Искандар;
cn_Ismah.f;Исмах;
cn_Ismail.m;Исмаил;
cn_Ismar.m;Исмар;
cn_Isoarda.f;Исоарда;
cn_Isobel.f;Исобел;
cn_Isolda.f;Исолда;
cn_Issad.m;Иссад;
cn_Issouf.m;Иссоуф;
cn_Istvan.m;Истван;
cn_Ite.f;Ите;
cn_Ithel.m;Ител;
cn_Itimad.f;Итимад;
cn_Iud_ki.m;Иудки;
cn_Iuga.m;Иуга;
cn_Iuliana.f;Иулиана;
cn_Ivan.m;Иван;
cn_Ivan_Aleksandar.m;Иван-Александар;
cn_Ivan_Asen.m;Иван-Асен;
cn_Ivan_Shishman.m;Иван-Шишман;
cn_Ivan_Stratsimir.m;Иван-Стратсимир;
cn_Ivane.m;Иване;
cn_Ivane_Qvarqvare.m;Иване-Кваркваре;
cn_Ivanish.m;Иваниш;
cn_Ivanka.f;Иванка;
cn_Ivanko.m;Иванко;
cn_Ivar.m;Ивар;
cn_Ivats.m;Иватс;
cn_Ivaylo.m;Иваило;
cn_Ives.m;Ивес;
cn_Ivo.m;Иво;
cn_Iwerydd.f;Иуеридд;
cn_Iyad.m;Ииад;
cn_Iye.m;Иие;
cn_Iza.f;Иза;
cn_Izarns.m;Изарнс;
cn_Izyaslav.m;Изиаслав;
cn_Izz.m;Изз;
cn_Izzeddin.m;Иззеддин;
cn_Ja_far.m;Яфар;
cn_Jaak.m;Яак;
cn_Jaako.m;Яако;
cn_Jacob.m;Яков;
cn_Jacoba.f;Якоба;
cn_Jacobi.m;Якоби;
cn_Jacobus.m;Якобус;
cn_Jacopo.m;Якопо;
cn_Jacques.m;Жак;
cn_Jadaron.m;Ядарон;
cn_Jaddvor.f;Яддвор;
cn_Jadi.f;Яди;
cn_Jadviga.f;Ядвига;
cn_Jadwiga.f;Ядуига;
cn_Jaen.m;Яен;
cn_Jafrez.m;Яфрез;
cn_Jagoda.f;Ягода;
cn_Jahan.m;Яхан;
cn_Jahm.m;Яхм;
cn_Jahwar.m;Яхуар;
cn_Jaida.f;Яида;
cn_Jakab.m;Якаб;
cn_Jakha.m;Якха;
cn_Jakob.m;Якоб;
cn_Jakov.m;Яков;
cn_Jakub.m;Якуб;
cn_Jalaf.m;Ялаф;
cn_Jalal.m;Ялал;
cn_Jalid.m;Ялид;
cn_Jalida.f;Ялида;
cn_Jalil.m;Ялил;
cn_Jalmari.m;Ялмари;
cn_James.m;Джеймс;
cn_Jamila.f;Ямила;
cn_Jamukha.m;Ямукха;
cn_Jan.m;Ян;
cn_Jane.f;Джейн;
cn_Janed.f;Янед;
cn_Janet.f;Янет;
cn_Jani.m;Яни;
cn_Janos.m;Янош;
cn_Janusz.m;Янусз;
cn_Jaqir.m;Якир;
cn_Jaques.m;Яквес;
cn_Jaquinta.f;Яквинта;
cn_Jarir.m;Ярир;
cn_Jaromar.m;Яромар;
cn_Jasper.m;Джаспър;
cn_Jaufre.m;Яуфре;
cn_Jaufres.m;Яуфрес;
cn_Jaume.m;Яуме;
cn_Jaune.f;Яуне;
cn_Jaunutis.m;Яунутис;
cn_Jawnuta.m;Яунута;
cn_Jayr.m;Яир;
cn_Jayrun.m;Яирун;
cn_Jaythama.m;Яитама;
cn_Jean.f;Жан;
cn_Jean.m;Жан;
cn_Jeanne.f;Жана;
cn_Jebe.m;Йебе;
cn_Jeffrey.m;Джефри;
cn_Jefimija.f;Йефимия;
cn_Jehan.m;Йехан;
cn_Jehanne.f;Йеханне;
cn_Jehans.m;Йеханс;
cn_Jehona.f;Йехона;
cn_Jelena.f;Йелена;
cn_Jelisaveta.f;Йелисавета;
cn_Jenico.m;Йенико;
cn_Jennet.f;Йеннет;
cn_Jens.m;Йенс;
cn_Jeremijs.m;Йеремийс;
cn_Jerik.m;Йерик;
cn_Jerina.f;Йерина;
cn_Jeronymus.m;Йеронимус;
cn_Jerzy.m;Йерзи;
cn_Jessiana.f;Йессиана;
cn_Jezabel.f;Йезабел;
cn_Jidr.m;Джидр;
cn_Jigda.f;Джигда;
cn_Jikur.m;Джикур;
cn_Jilim.m;Джилим;
cn_Jimena.f;Джимена;
cn_Jimeno.m;Джимено;
cn_Jindrich.m;Джиндрич;
cn_Jingue.m;Джингуе;
cn_Jngibiargh.f;Йнгибиаргх;
cn_Joab.m;Йоаб;
cn_Joachim.m;Йоаким;
cn_Joakim.m;Йоаким;
cn_Joan.f;Йоана;
cn_Joanna.f;Йоана;
cn_Joannicios.m;Йоанникиос;
cn_Joans.m;Йоанс;
cn_Joao.m;Йоао;
cn_Joasaph.m;Йоасаф;
cn_Job.m;Йоб;
cn_Jochi.m;Дсчьотсчи;
cn_Jofroi.m;Йофрои;
cn_Jogaila.m;Йогаила;
cn_Johan.m;Йохан;
cn_Johanna.f;Йоханна;
cn_Johanne.m;Йоханне;
cn_Johannes.m;Йоханнес;
cn_Johans.m;Йоханс;
cn_John.m;Джон;
cn_Johnne.m;Йохнне;
cn_Jolan.f;Йолан;
cn_Joma.m;Йома;
cn_Jon.m;Йон;
cn_Jonas.m;Йона;
cn_Jonet.f;Йонет;
cn_Jons.m;Йонс;
cn_Joos.m;Йоос;
cn_Joost.m;Йоост;
cn_Jordan.m;Йордан;
cn_Jordas.m;Йордас;
cn_Jorge.m;Йорге;
cn_Joris.m;Йорис;
cn_Josce.m;Йоске;
cn_Joscelin.m;Йоскелин;
cn_Joseph.m;Йосиф;
cn_Josepha.f;Йосефа;
cn_Josse.m;Йоссе;
cn_Jost.m;Йост;
cn_Joukahainen.m;Йоукахаинен;
cn_Jovan.m;Йован;
cn_Joyce.f;Йоике;
cn_Jozef.m;Йозеф;
cn_Juan.m;Юан;
cn_Juana.f;Юана;
cn_Juba.m;Юба;
cn_Jubayr.m;Юбаир;
cn_Jude.m;Юде;
cn_Judith.f;Юдит;
cn_Juditha.f;Юдита;
cn_Julia.f;Юлия;
cn_Julian.f;Юлиан;
cn_Julian.m;Юлиан;
cn_Juliana.f;Юлиана;
cn_Juliane.f;Юлиане;
cn_Julianus.m;Юлианус;
cn_Julie.f;Юлие;
cn_Julius.m;Юлий;
cn_Jumana.f;Юмана;
cn_Jumghur.m;Юмгхур;
cn_Junayd.m;Юнаид;
cn_Juodikis.m;Юодикис;
cn_Jupp.m;Юпп;
cn_Juraj.m;Юрай;
cn_Jurg.m;Юрг;
cn_Jurgis.m;Юргис;
cn_Justina.f;Юстина;
cn_Justinus.m;Юстинус;
cn_Jutta.f;Ютта;
cn_Juwayriyyah.f;Юуаирииях;
cn_Juzayy.m;Юзаии;
cn_Jwar.m;Йуар;
cn_Kaba.m;Каба;
cn_Kabala.m;Кабала;
cn_Kachatour.m;Качатоур;
cn_Kachir.m;Качир;
cn_Kadai.m;Кадаи;
cn_Kadak.m;Кадак;
cn_Kadan.m;Кадан;
cn_Kade.m;Каде;
cn_Kadi.m;Кади;
cn_Kafat.f;Кафат;
cn_Kagan.m;Каган;
cn_Kaidu.m;Каиду;
cn_Kaikhosro.m;Каикхосро;
cn_Kakas.m;Какас;
cn_Kakha.m;Какха;
cn_Kakhaber.m;Какхабер;
cn_Kalabi.m;Калаби;
cn_Kalan.m;Калан;
cn_Kaleva.m;Калева;
cn_Kaliman.m;Калиман;
cn_Kaliman_Asen.m;Калиман-Асен;
cn_Kalina.f;Калина;
cn_Kalman.m;Калман;
cn_Kalojan.m;Калоян;
cn_Kalota.m;Калота;
cn_Kaloyan.m;Калоиан;
cn_Kaltrina.f;Калтрина;
cn_Kamadia.m;Камадиа;
cn_Kamal.m;Камал;
cn_Kamel.m;Камел;
cn_Kamignogo.m;Камигного;
cn_Kamil.m;Камил;
cn_Kanga.f;Канга;
